               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.035141,            0.041836,                   0,              0.9342,             0.92608,             0.96175,             0.71973,            0.038142,            0.098161,                   0,            0.009505,            0.009505,            0.009505
                 100,            0.037411,            0.045717,                   0,             0.91142,             0.92395,             0.94495,             0.70964,            0.040206,             0.10189,                   0,            0.009505,            0.009505,            0.009505
                 101,            0.036596,            0.043361,                   0,             0.90635,             0.91009,             0.93444,             0.68917,            0.039528,             0.10506,                   0,            0.009505,            0.009505,            0.009505
                 102,            0.034497,            0.042974,                   0,             0.92984,             0.92466,             0.95797,              0.7454,            0.036776,            0.098713,                   0,            0.009505,            0.009505,            0.009505
                 103,            0.033024,            0.041846,                   0,             0.93291,             0.91578,             0.94791,             0.70594,            0.038534,             0.10103,                   0,            0.009505,            0.009505,            0.009505
                 104,            0.035393,            0.041103,                   0,             0.92487,             0.90654,             0.95258,             0.69664,            0.040843,             0.10629,                   0,            0.009505,            0.009505,            0.009505
                 105,            0.035228,            0.042652,                   0,             0.94024,             0.92253,             0.95683,             0.73086,            0.038892,             0.10016,                   0,            0.009505,            0.009505,            0.009505
                 106,             0.03238,            0.039224,                   0,             0.93489,             0.93923,             0.96566,             0.73754,            0.037151,            0.098738,                   0,            0.009505,            0.009505,            0.009505
                 107,            0.033666,            0.043086,                   0,             0.93445,             0.93715,             0.96627,              0.7472,            0.037088,            0.099605,                   0,            0.009505,            0.009505,            0.009505
                 108,            0.033865,            0.040507,                   0,             0.94135,             0.94112,             0.96862,             0.72724,            0.037342,            0.095962,                   0,            0.009505,            0.009505,            0.009505
                 109,            0.035131,            0.043642,                   0,             0.94999,             0.92999,             0.96245,             0.73619,             0.03858,            0.097697,                   0,            0.009505,            0.009505,            0.009505
                 110,            0.034139,            0.038718,                   0,             0.94229,             0.92928,             0.96039,             0.72101,            0.038987,            0.098273,                   0,            0.009505,            0.009505,            0.009505
                 111,            0.034589,            0.042871,                   0,             0.93337,             0.91592,             0.95401,             0.71558,            0.038534,             0.10195,                   0,            0.009505,            0.009505,            0.009505
                 112,             0.03443,            0.042298,                   0,             0.93771,             0.92573,              0.9619,             0.72958,            0.038054,             0.10031,                   0,            0.009505,            0.009505,            0.009505
                 113,            0.034566,            0.040126,                   0,               0.933,             0.90938,              0.9475,             0.69652,            0.040777,             0.10195,                   0,            0.009505,            0.009505,            0.009505
                 114,            0.034233,            0.040709,                   0,             0.92024,             0.88966,             0.92999,             0.67866,            0.042535,             0.10328,                   0,            0.009505,            0.009505,            0.009505
                 115,            0.035271,            0.041156,                   0,              0.9397,             0.93588,             0.95478,             0.71845,            0.037533,             0.09777,                   0,            0.009505,            0.009505,            0.009505
